'Marco João Costa Baixinho','Nacional','Primeira Liga','1989-07-11',187.0,80.0,'Portugal',2900000.0, '2018-01-01', '2020-01-01'
'Rafael Henrique Assis Cardoso','Braga','Primeira Liga','1990-10-31',170.0,61.0,'Brazil',3100000.0, '2018-01-01', '2020-01-01'
'José Filipe da Silva Moreira','Santa Clara','Primeira Liga','1982-03-20',185.0,83.0,'Portugal',725000.0, '2018-01-01', '2020-01-01'
'José Edgar Andrade da Costa','Maritimo','Primeira Liga','1987-04-14',177.0,78.0,'Portugal',2900000.0, '2018-01-01', '2020-01-01'
'Rafael Garcia Tonioli Defendi','Nacional','Primeira Liga','1983-12-22',191.0,88.0,'Brazil',1600000.0, '2018-01-01', '2020-01-01'
'Hélder Tiago Pinto Moura Guedes','Rio Ave','Primeira Liga','1987-05-07',182.0,76.0,'Portugal',3000000.0, '2018-01-01', '2020-01-01'
'Douglas Pereira dos Santos','Benfica','Primeira Liga','1990-08-06',171.0,60.0,'Brazil',2600000.0, '2018-01-01', '2020-01-01'
'Eber Henrique Ferreira de Bessa','Maritimo','Primeira Liga','1992-03-21',167.0,72.0,'Brazil',3800000.0, '2018-01-01', '2020-01-01'
'Vagner da Silva','Boavista','Primeira Liga','1986-06-06',185.0,79.0,'Brazil',1900000.0, '2018-01-01', '2020-01-01'
'Maurides Roque Junior','Belenenses','Primeira Liga','1994-03-10',188.0,77.0,'Brazil',4300000.0, '2018-01-01', '2020-01-01'
'João Carlos Vilaça Teixeira','Braga','Primeira Liga','1993-01-18',177.0,76.0,'Portugal',4300000.0, '2018-01-01', '2020-01-01'
'Amilton Minervino da Silva','Aves','Primeira Liga','1989-08-12',172.0,68.0,'Brazil',3300000.0, '2018-01-01', '2020-01-01'
'Nuno Miguel Jerónimo Sequeira','Braga','Primeira Liga','1990-08-19',184.0,79.0,'Portugal',2600000.0, '2018-01-01', '2020-01-01'
'Rafael Furlan Soares','Desportivo das Chaves','Primeira Liga','1994-09-20',177.0,75.0,'Brazil',3300000.0, '2018-01-01', '2020-01-01'
'Gonçalo Jardim Brandão','Santa Clara','Primeira Liga','1986-10-09',182.0,76.0,'Portugal',2300000.0, '2018-01-01', '2020-01-01'
'João António Antunes Carvalho','Benfica','Primeira Liga','1997-03-09',170.0,66.0,'Portugal',5500000.0, '2018-01-01', '2020-01-01'
'Judilson Mamadu Tuncara Gomes','Rio Ave','Primeira Liga','1991-09-29',182.0,77.0,'Guinea Bissau',3200000.0, '2018-01-01', '2020-01-01'
'Tiago Henrique Damil Gomes','Feirense','Primeira Liga','1986-07-29',177.0,80.0,'Portugal',2200000.0, '2018-01-01', '2020-01-01'
'Ricardo Miguel Moreira Costa','Tondela','Primeira Liga','1981-05-16',183.0,80.0,'Portugal',425000.0, '2018-01-01', '2020-01-01'
'Tiago Rafael Maia Silva','Feirense','Primeira Liga','1993-06-02',175.0,68.0,'Portugal',4099999.9999999995, '2018-01-01', '2020-01-01'
'Lucas E. Santana de Oliveira','Santa Clara','Primeira Liga','1995-05-06',181.0,79.0,'Brazil',3500000.0, '2018-01-01', '2020-01-01'
'Evanildo Fernandes Gomes','Aves','Primeira Liga','1986-05-01',175.0,63.0,'Brazil',2100000.0, '2018-01-01', '2020-01-01'
'Pedro Nuno Fernandes Ferreira','Tondela','Primeira Liga','1995-01-13',176.0,68.0,'Portugal',3600000.0, '2018-01-01', '2020-01-01'
